EventDate,Period,Page number (if applic),Recipient name (original transcription),Nature of recipient (original transcription),Name,Institution - common name from Exit Books,Town/City,Level of study ,School type,Denomination/organisation,No. of objects,Event information (any extra information not in list of specimens),BHL Exit Book Link,BHL School Letter Book Link (Vol 1 only)
19.10.1877,1876-1914,,W Rainbow,"Warwick, King's School","Rainbow, W",King's School,Warwick,Secondary ,Private,,20,,,https://biodiversitylibrary.org/page/58047698
10.02.1883,1876-1914,37,The Rev Father Sircom,"Stonyhurst College, Blackburn","Sircom, Sebastian, Reverend Professor",Stonyhurst College,Blackburn,Secondary ,Private,Roman Catholic ,8,One box and one package containing the following. Paper taken to Mr Dyer,https://biodiversitylibrary.org/page/55370430,Missing from Letter Book
21.01.1885,1876-1914,85,Herbert Williamson Esq,"Saunders Road Board School, Notting Hill","Williamson, Herbert",Saunders Road Board School,London,Elementary ,Board,,22,"One box of specimens, viz,",https://biodiversitylibrary.org/page/55370480,Missing from Letter Book
28.05.1888,1876-1914,214,Miss Buss,"North London Coll School for Girls, Sandall Road, Camden Road N","Buss, Frances Mary",North London Collegiate School for Girls,London,Secondary ,Private,,52,One box containing the following:-,https://biodiversitylibrary.org/page/55370607,https://biodiversitylibrary.org/page/58047694
11.06.1888,1876-1914,223,Miss A Mizen,"School of Blind, Southwark","Mizen, A",School for the Indigent Blind,London,Elementary ,SEN,,8,(Sent to pits care of Mr Watson 11/6/88),https://biodiversitylibrary.org/page/55370616,Missing from Letter Book
15.06.1888,1876-1914,223,Miss Frances McDonnell,"St George's Infant School, North Road, Brentford","McDonnell, Frances",St George's Infant School,London,Elementary ,Voluntary ,Church of England ,16,,https://biodiversitylibrary.org/page/55370616,Missing from Letter Book
04.10.1888,1876-1914,239,E Richardson Esq,"Shrewsbury Road Board School, East Ham, E","Richardson, E",Shrewsbury Road Board School,London,Elementary ,Board,,23,,https://biodiversitylibrary.org/page/55370632,https://biodiversitylibrary.org/page/58047692
04.10.1888,1876-1914,240,Miss Simmance,"Board School, St Dunstan's Road, Fulham, SW",Simmance,Board School,London,Elementary ,Board,,15,,https://biodiversitylibrary.org/page/55370633,https://biodiversitylibrary.org/page/58047663
04.10.1888,1876-1914,241,Miss Brett,"The Girls' School, Winkfield, Windsor",Brett,The Girls' School,Windsor,Elementary ,Charity ,,14,,https://biodiversitylibrary.org/page/55370634,https://biodiversitylibrary.org/page/58047667
21.06.1889,1876-1914,251,H R Coombs,"Immanuel Church Schools, Streatham Common, SW","Coombs, H R",Immanuel Church Schools,London,Elementary ,Voluntary ,Church of England ,9,,https://biodiversitylibrary.org/page/55370644,https://biodiversitylibrary.org/page/58047671
05.11.1889,1876-1914,254,H Watling Esq,"Cottingham, Uppingham, Rutland [school]","Watling, H",Cottingham School,Rutland,Elementary ,Charity ,,13,Small box containing the following:-,https://biodiversitylibrary.org/page/55370647,https://biodiversitylibrary.org/page/58047675
28.06.1890,1876-1914,294,C E Dunmore Esq,"Board School, Scarsdale Road, Camberwell","Dunmore, Charles E",Board School,London,Elementary ,Board,,20,One box of Museum duplicates as follows:-,https://biodiversitylibrary.org/page/55370687,
28.08.1890,1876-1914,296,S M A Walker Esq,"The Church School, Wintringham, Rillington, York","Walker, S M A",The Church School,York,Elementary ,Voluntary ,Church of England ,18,Small package containing the following:-,https://biodiversitylibrary.org/page/55370689,Missing from Letter Book
12.09.1890,1876-1914,297,Miss A S Haws,"National School, Ilford, Essex","Haws, A S",National School,Ilford,Elementary ,Voluntary ,Church of England ,13,Parcel containing the following:-,https://biodiversitylibrary.org/page/55370690,https://biodiversitylibrary.org/page/58047679
12.09.1890,1876-1914,297,W R Crinan Esq,"Lower Darwen School, Darwen, Lancashire","Crinan, W R",Lower Darwen School,Darwen,Elementary ,Voluntary ,Church of England ,13,One box containing the following:-,https://biodiversitylibrary.org/page/55370690,https://biodiversitylibrary.org/page/58047681
15.11.1890,1876-1914,305,"W H Bottomley, Esq","St Paul's Schools, Lisson Grove NW","Bottomley, W H",St Paul's Schools,London,Elementary ,Voluntary ,Church of England ,18,A collection of duplicates as follows:-,https://biodiversitylibrary.org/page/55370698,https://biodiversitylibrary.org/page/58047689
17.11.1890,1876-1914,306,Hilton Grundy Esq,"St Paul's School, Brentford","Grundy, Hilton",St Paul's School,London,Elementary ,Voluntary ,Church of England ,26,One box containing the following:-,https://biodiversitylibrary.org/page/55370699,
17.12.1890,1876-1914,312,P Clifford Esq,"Boys School, Homer Row Marylebone Road, W","Clifford, P",Boys School,London,Elementary ,Voluntary ,Roman Catholic ,10,Small box of specimens as follows:-,https://biodiversitylibrary.org/page/55370705,https://biodiversitylibrary.org/page/58047691
10.04.1891,1876-1914,315,J Gavan Esq,"St Mary's Boys' School, Isleworth","Gavan, J",St Mary's Boys' School,London,Elementary ,Voluntary ,Roman Catholic ,12,Package containing the following dups,https://biodiversitylibrary.org/page/55370708,https://biodiversitylibrary.org/page/58047708
29.04.1891,1876-1914,318,Miss S Dowling,"St Patrick's School, Great Chapel Street, Oxford Street W","Dowling, S",St Patrick's School,London,Elementary ,Voluntary ,Roman Catholic ,18,Parcel containing the following specimens:-,https://biodiversitylibrary.org/page/55370711,https://biodiversitylibrary.org/page/58047712
29.04.1891,1876-1914,318,Ernest H Vidler Esq,"Victoria Board School, Starch Green, London W","Vidler, Ernest H",Victoria Board School,London,Elementary ,Board,,16,Two parcels containing the following duplicates:-,https://biodiversitylibrary.org/page/55370711,https://biodiversitylibrary.org/page/58047710
07.07.1891,1876-1914,326,"Sister Flora, Head Mistress","Princess Frederica Schools, College Road, Kensal Rise",Flora,Princess Frederica Schools,London,Elementary ,Voluntary ,Church of England ,22,Small box of duplicates as follows:-,https://biodiversitylibrary.org/page/55370719,https://biodiversitylibrary.org/page/58047714
02.09.1891,1876-1914,329,Henry Withers Esq,"School House, Knockholt near Sevenoaks","Withers, Henry",School House,Sevenoaks,Elementary ,Voluntary ,Church of England ,22,One case containing the following:-,https://biodiversitylibrary.org/page/55370722,https://biodiversitylibrary.org/page/58047716
11.11.1891,1876-1914,337,The Head Mistress,"Infant School, Homer Row, Marylebone Road, W",,Infant School,London,Elementary ,Voluntary ,Roman Catholic ,17,One parcel containing the following:-,https://biodiversitylibrary.org/page/55370730,https://biodiversitylibrary.org/page/58047720
03.12.1891,1876-1914,338,Miss E Tovey,"S Mary's School, Battersea","Tovey, E",St Mary's School,London,Elementary ,Voluntary ,Church of England ,51,One box containing the following:-,https://biodiversitylibrary.org/page/55370731,
16.12.1891,1876-1914,342,F A Wood Esq,"Sussex Street Board School, Brighton, Sussex","Wood, F A",Sussex Street Board School,Brighton,Elementary ,Board,,75,Box containing the following:-,https://biodiversitylibrary.org/page/55370735,Missing from Letter Book
25.01.1892,1876-1914,351,Percy J Eyre Esq,"St John's Boys' School, Richmond","Eyre, Percy J",St John's Boys' School,London,Elementary ,Voluntary ,Church of England ,97,One package containing the following specimens:-,https://biodiversitylibrary.org/page/55370744,https://biodiversitylibrary.org/page/58047724
26.01.1892,1876-1914,352,Miss Kellagher,"St John's Girls' School, Portsmouth",Kellagher,St John's Girls' School,Portsmouth,Elementary ,Voluntary ,Roman Catholic ,19,One box of specimens as follows:-,https://biodiversitylibrary.org/page/55370745,https://biodiversitylibrary.org/page/58047726
08.04.1892,1876-1914,359,D Easterbrook Esq,"Boutcher School, Grange Road, Bermondsey","Easterbrook, D",Boutcher School,London,Elementary ,Voluntary ,Church of England ,60,One package containing the following:-,https://biodiversitylibrary.org/page/55370752,https://biodiversitylibrary.org/page/58047728
11.05.1892,1876-1914,361,Edward Montfort Esq,"St Joseph's Boys' School, Pitman Street, Camberwell","Montford, Edward",St Joseph's Boys' School,London,Elementary ,Voluntary ,Roman Catholic ,14,The following collection of duplicates:-,https://biodiversitylibrary.org/page/55370754,https://biodiversitylibrary.org/page/58047734
28.07.1892,1876-1914,362,"Mr Palmer, Head Master","Wesleyan School, Kew Road, Richmond",Palmer,"Wesleyan School, Kew",London,Elementary ,Voluntary ,Wesleyan ,72,,https://biodiversitylibrary.org/page/55370755,
